"Id","Condition","Sex","Centroid.Size","Log.Centroid.Size","X1","Y1","X2","Y2","X3","Y3","X4","Y4","X5","Y5","X6","Y6","X7","Y7","X8","Y8","X9","Y9","X10","Y10","X11","Y11","X12","Y12","X13","Y13","X14","Y14","X15","Y15","Procrustes_X1","Procrustes_Y1","Procrustes_X2","Procrustes_Y2","Procrustes_X3","Procrustes_Y3","Procrustes_X4","Procrustes_Y4","Procrustes_X5","Procrustes_Y5","Procrustes_X6","Procrustes_Y6","Procrustes_X7","Procrustes_Y7","Procrustes_X8","Procrustes_Y8","Procrustes_X9","Procrustes_Y9","Procrustes_X10","Procrustes_Y10","Procrustes_X11","Procrustes_Y11","Procrustes_X12","Procrustes_Y12","Procrustes_X13","Procrustes_Y13","Procrustes_X14","Procrustes_Y14","Procrustes_X15","Procrustes_Y15","Procrustes_Centroid_Size"
"H_107M-WING","hypoxia","M",1.807378712,0.5918775699,0.84237,0.99975,0.80496,1.07457,0.73272,1.10037,0.78045,1.23325,0.81786,1.21648,0.92751,1.1494,1.04619,1.08876,1.07199,1.2526,1.05006,1.29001,1.23841,1.44997,1.16488,1.52479,1.77634,1.41643,1.95049,1.75183,1.80988,1.84729,1.26421,1.79569,-0.247756973782313,0.0688027303012885,-0.24281318410534,0.022759691920219,-0.268751664665935,-0.0108616770598317,-0.206786213426854,-0.058498207985388,-0.194371107687494,-0.0394992622570254,-0.163345020094073,0.0245403117866619,-0.126187929370326,0.0882807373114968,-0.0651739599509826,0.0196617452670106,-0.0642071534514619,-0.00432588077983833,0.0713770218331926,-0.0225344723624494,0.0594939188720867,-0.0793821272673007,0.311965247955106,0.153946582921235,0.493373542467653,0.0497561249557413,0.45641762768498,-0.0367588220782257,0.186765847721761,-0.175887474673594,1.80737871154148
"H_114M-WING","hypoxia","M",1.846926973,0.6135231625,0.83721,1.03587,0.90429,0.99588,0.93396,0.92364,1.06812,0.94815,1.05651,0.98298,0.99588,1.11198,0.9288,1.23067,1.11198,1.2397,1.14294,1.2139,1.33645,1.38805,1.41514,1.31839,1.31323,1.95049,1.68217,2.08852,1.77376,1.96468,1.69249,1.3945,-0.244899403543142,0.0704082253844154,-0.240376705948098,0.0283537346287858,-0.26199092656003,-0.00800227772668327,-0.207714449698099,-0.0581001879499986,-0.196415310231553,-0.0417371914553716,-0.16030921236894,0.0264948816401672,-0.130762696928683,0.0941640116738577,-0.0672308810742743,0.0178085973015431,-0.0683229962289835,-0.00399222303246238,0.0700486866006543,-0.0310764912848846,0.0655048762927695,-0.0878149283878565,0.305963940107233,0.162037655307254,0.485790244597694,0.04725665263242,0.461993766474695,-0.0326990162677633,0.188721068508756,-0.183101442463424,1.84692697344535
"H_083M-WING","hypoxia","M",1.850663983,0.6155444847,0.71337,1.14165,0.71466,1.22938,0.67725,1.29001,0.73014,1.40095,0.76497,1.37515,0.85398,1.26163,0.91848,1.15456,1.02942,1.32871,1.01652,1.3816,1.26034,1.50028,1.19971,1.59961,1.73377,1.22938,2.01628,1.52221,1.93372,1.67701,1.38805,1.83439,-0.252494692284555,0.0762060239451379,-0.23993283348985,0.0304520240205138,-0.251307713179007,-0.00635957830386936,-0.208570043666301,-0.057270199079351,-0.193833478637844,-0.0390411393406826,-0.16262285158123,0.0324515594039888,-0.143357128607927,0.0972521861154528,-0.0616810392404302,0.0211191829008716,-0.0612684112437948,-0.0083168350470502,0.0824668262022231,-0.0373968735860029,0.0641970136160212,-0.0976207579039781,0.293630742057865,0.16859035370024,0.481200433260311,0.0535803832919099,0.458962211534498,-0.0386449862151969,0.194610965260022,-0.195001343901984,1.85066398347548
"H_030M-WING","hypoxia","M",1.852161459,0.6163533135,0.74691,1.18681,0.80238,1.12488,0.79464,1.04748,0.9288,1.01652,0.93783,1.05522,0.93783,1.20229,0.93009,1.33774,1.09263,1.26163,1.1094,1.2139,1.36354,1.2913,1.39579,1.18423,1.59832,1.81117,1.97887,1.77247,2.01112,1.61767,1.67701,1.1352,-0.251769406453353,0.0687927913806997,-0.240165853959557,0.0254183162272037,-0.262787220404934,-0.00997880557787009,-0.205715251053034,-0.0576421266879417,-0.191918616035692,-0.0412024303824497,-0.156020796516511,0.0296454972595407,-0.126685500704038,0.0967863836969021,-0.0669599220546445,0.0204465201136184,-0.0705318998116669,-0.0066402102385188,0.0707906139187667,-0.0313889918040005,0.0601915104282237,-0.0908418394561067,0.310793266199335,0.161742023385548,0.484666839374632,0.0502070677875966,0.462416980028173,-0.0322378232092332,0.1836952570443,-0.183106372494988,1.852161459283
"H_127M-WING","hypoxia","M",1.856845653,0.6188791626,1.4332,0.86559,1.50673,0.90558,1.58026,0.90171,1.62025,1.02684,1.58542,1.032,1.44223,1.04361,1.29904,1.05393,1.39192,1.19713,1.43191,1.21261,1.37128,1.46545,1.47577,1.49254,0.84624,1.72345,0.90687,2.11432,1.06554,2.14657,1.54285,1.7815,-0.243194908933992,0.0707083759129113,-0.239900952953426,0.0257262098271134,-0.2581411578072,-0.00951009521368539,-0.205599164350316,-0.056947520891905,-0.195324702377523,-0.0409941715289032,-0.157811956616043,0.0267178289571672,-0.120930305315551,0.0947173070872586,-0.0712607092566145,0.0173044429045249,-0.0725486972204798,-0.00576863850520967,0.0650474935051636,-0.0321875230074069,0.0551281982015558,-0.0895052950911374,0.308369371211229,0.168222331613194,0.48676337279928,0.0516068715592756,0.467336798843513,-0.0334492195020945,0.182067320270405,-0.186640904121104,1.8568456530184
"H_084M-WING","hypoxia","M",1.859430869,0.6202704566,1.22164,0.88881,1.30033,0.91719,1.36225,0.88752,1.44223,0.99459,1.4074,1.01652,1.27324,1.05264,1.13391,1.09521,1.25647,1.23454,1.30936,1.23583,1.31581,1.51189,1.42804,1.50931,0.87591,1.89373,1.06554,2.23429,1.22293,2.21107,1.57639,1.74796,-0.247436257052445,0.06740981123547,-0.238424029459821,0.0233264538329819,-0.259011918349171,-0.00733588422970599,-0.208212895797414,-0.0581991448366561,-0.193842845662425,-0.0413574767488402,-0.164227689145767,0.027256554506504,-0.130779044412478,0.098122944075264,-0.0661057714503631,0.0220971258143366,-0.0695147669289662,-0.00615509206524865,0.0769280936273158,-0.030965849008772,0.0668641762802585,-0.0905051632845004,0.314242034868552,0.173615705294425,0.480830808970316,0.0463087374648187,0.456283936981917,-0.0356695602383637,0.18240616753049,-0.187949161811713,1.85943086919986
"H_113M-WING","hypoxia","M",1.871232242,0.6265971666,1.47835,0.85785,1.54543,0.92106,1.62412,0.91977,1.64605,1.06425,1.6009,1.06941,1.45642,1.05006,1.31581,1.0191,1.37515,1.19713,1.42288,1.22164,1.31968,1.48738,1.42933,1.54414,0.77271,1.63057,0.79464,2.0395,0.94815,2.09626,1.46932,1.80472,-0.250454816614156,0.0739921534723788,-0.240892343458241,0.0256504349492147,-0.263838136801384,-0.00962114509825287,-0.204638582608701,-0.0606116966713684,-0.189471411644076,-0.0416299607489923,-0.157177077284509,0.0293007858866414,-0.131235904955661,0.101778344098663,-0.0674685693188005,0.0243121727741703,-0.0699327483199729,-0.00426886757337143,0.0797441249351811,-0.0330482665702301,0.0742876193111359,-0.0988373230996366,0.300047132434284,0.173970479885319,0.479004602263973,0.0478330945694119,0.461084180019909,-0.0378189821869991,0.18094193204102,-0.19100122368695,1.87123224166679
"H_106M-WING","hypoxia","M",1.872786586,0.6274274746,1.81891,1.81246,1.7428,1.86277,1.71958,1.93114,1.58542,1.91308,1.59445,1.87567,1.64863,1.74409,1.71055,1.62412,1.52608,1.61638,1.48996,1.65121,1.28614,1.47835,1.21648,1.56994,1.28614,0.903,0.9159,0.79077,0.81786,0.91461,0.93396,1.50931,-0.245581554355056,0.0732818372016232,-0.240272591097068,0.0248461793275516,-0.260434097294278,-0.00802746988464662,-0.20722651314456,-0.056976489323317,-0.194940180823145,-0.0404985664044385,-0.15938008823444,0.0266660179599412,-0.131228748006669,0.0930482719606987,-0.0650897943454708,0.0199100097881411,-0.0670705443032303,-0.0068153366559399,0.0735035943416601,-0.0315479073285777,0.0596543319859341,-0.0914241730373606,0.30985790824783,0.164815707606563,0.482319459441716,0.051025807422257,0.464906264645304,-0.0315147377660688,0.180982552941473,-0.186789150866427,1.87278658596221
"H_003M-WING","hypoxia","M",1.88112992,0.6318726175,0.82431,0.99201,0.90429,0.94428,0.93396,0.87978,1.07844,0.87978,1.06812,0.92622,1.00749,1.06554,0.93783,1.19068,1.13778,1.18939,1.18552,1.15198,1.41772,1.33,1.4848,1.22293,1.41256,1.88857,1.80214,1.95823,1.88986,1.81762,1.75054,1.26292,-0.255608887448963,0.0751320593437044,-0.24511037850133,0.0267227311559591,-0.259400271804467,-0.00823060355679212,-0.206928036136395,-0.064366347165529,-0.19263165990124,-0.0434916145322662,-0.160518175771849,0.0306600365454255,-0.137188006902049,0.103172258688762,-0.0650746515004335,0.0250140367645976,-0.0622757345510111,-0.007119329019501,0.0912192363018565,-0.0326905127196171,0.0739820191642199,-0.0976391996460905,0.306396601191607,0.172165232175662,0.474941589121499,0.0460960625118878,0.45216508836552,-0.0390522476178509,0.186031268373036,-0.186372562928351,1.88112991979112
"H_119M-WING","hypoxia","M",1.905797226,0.6449004123,0.94686,0.90816,0.90171,0.98298,0.83205,1.01265,0.84624,1.14811,0.88236,1.13649,1.01523,1.07844,1.14552,1.01781,1.13907,1.20229,1.10811,1.23454,1.29388,1.45126,1.21003,1.53253,1.88083,1.43965,1.98532,1.82665,1.85632,1.92598,1.2655,1.80859,-0.24632280559656,0.0726283536003079,-0.239586586778254,0.0272626733334099,-0.25785870586924,-0.00802494100183449,-0.206842696294023,-0.058096047347921,-0.196109783938705,-0.0413215707378349,-0.161746522389019,0.0265756101376421,-0.129288454178176,0.0946548349870662,-0.0702397489402732,0.0178502884093527,-0.0719894410070571,-0.00554774410652195,0.075613231033486,-0.0311554105599776,0.0688449205494715,-0.0920660368686404,0.30924391978039,0.169710258386886,0.480864756258046,0.0480356225359583,0.461862696642732,-0.0352720221334866,0.183555220727183,-0.185233868634407,1.90579722590836
